 Locality,Type_of_property,Subtype_of_property,Price,Type_of_sale,Number_of_rooms,Area,Kitchen_type,Furnished,Open_fire,Terasse,Garden,Surface_of_land,Surface_plot_land,Number_of_facades,Swimming_pool,Building_condition
Huy,House,House,,New price,6,400,Semi equipped,No,0,0,300,160,,2,0,To be done up
Woluwe-Saint-Lambert,House,House,460000,,4,165,Not installed,No,0,0,38,130,,2,0,To renovate
Woluwe-Saint-Pierre,House,House,990000,New build,6,485,Hyper equipped,No,0,0,0,251,143,2,0,As new
Huy,House,Bungalow,195000,New build,2,100,Semi equipped,No,0,0,0,489,,4,0,As new
Rochefort,House,Villa,325000,,4,290,Installed,No,0,0,1438,1600,,4,0,Good
Ninove,House,Mansion,550000,,5,275,Installed,No,0,0,0,373,,2,0,Good
Bruxelles,House,Apartment block,895000,,5,250,Hyper equipped,Yes,0,0,0,250,,2,0,As new
Liege,House,House,245000,,4,185,Semi equipped,No,0,0,0,470,120,2,0,To be done up
Limal,House,House,480000,,3,130,Hyper equipped,No,0,0,450,816,,4,0,As new
Desselgem,House,House,299900,,3,170,Installed,No,0,0,0,239,,,0,Good
Desselgem,House,House,299900,,3,170,Installed,No,0,0,0,239,,,0,Good
Liège Grivegnée,House,House,185000,,3,108,Installed,No,0,0,0,70,70,2,0,Good
Wavre,House,Villa,365000,,3,110,Installed,No,0,0,555,620,73,4,0,Good
Wezembeek-Oppem,House,House,475000,,3,153,USA hyper equipped,No,0,0,130,182,155,2,0,To be done up
Liedekerke,House,House,449000,,3,234,Hyper equipped,No,0,0,0,351,88,3,0,As new
Etterbeek,House,Apartment block,1065000,,7,290,Installed,No,0,0,20,105,,2,0,To be done up
Bruxelles,House,House,699000,,4,258,Installed,No,0,0,198,260,62,2,0,Good
Faimes,House,House,250000,,2,120,USA semi equipped,No,0,0,150,262,60,4,0,Just renovated
HOUTAIN-SAINT-SIMÉON,House,Villa,359000,,4,121,Semi equipped,No,0,0,210,581,,4,0,Just renovated
Saint-Georgessur-Meuse Stockay,House,House,410000,,4,213,Installed,No,0,0,2000,2064,,4,0,As new
SINT-PIETERS-LEEUW,House,House,285000,,3,131,Installed,No,0,0,0,75,,2,0,Good
Ruisbroek,House,House,285000,,3,131,Installed,No,0,0,0,75,,2,0,Good
Lennik,House,House,379000,,3,120,Semi equipped,No,0,0,2716,1,,4,0,To be done up
Wilrijk,House,House,449000,,4,180,Hyper equipped,No,0,0,0,202,,2,0,Just renovated
Berchem-Sainte-Agathe,House,House,399000,,3,170,USA installed,No,0,0,100,230,,3,0,Good
Bruxelles,House,Mansion,4600000,,5,450,Hyper equipped,No,0,0,0,251,,3,0,As new
Grandglise,House,House,185000,,2,183,Semi equipped,No,0,0,0,1090,,3,0,To be done up
Tienen,House,House,215000,,4,240,Installed,No,0,0,0,143,,2,0,Just renovated
Tienen,House,Mixed-use building,215000,,4,240,Installed,No,0,0,0,143,,2,0,Just renovated
Wielsbeke,House,Villa,430000,,3,250,Semi equipped,No,0,0,0,800,,4,0,Good
Wielsbeke,House,Villa,430000,,3,250,Semi equipped,No,0,0,0,800,,4,0,Good
TISSELT,House,House,,New price,5,170,Semi equipped,No,0,0,255,969,,4,0,To renovate
Molenbeek-Saint-Jean,House,House,695000,,5,250,Not installed,No,0,0,15,95,250,2,0,Good
Ronse,House,House,259500,New build,4,152,Not installed,No,0,0,149,216,52,2,0,As new
Amay Ampsin,House,House,209000,,3,120,Hyper equipped,No,0,0,250,349,80,3,0,As new
Herstal,House,House,249000,,3,124,Hyper equipped,No,0,0,165,185,,2,0,Good
Wolvertem,House,Villa,499000,,4,185,USA installed,No,0,0,0,651,,4,0,Good
Meise,House,Exceptional property,579000,,4,266,USA installed,No,0,0,140,302,,2,0,Good
Meise,House,Villa,695000,,4,185,USA hyper equipped,No,1,0,0,567,,4,0,Good
Woluwe-Saint-Pierre,House,Exceptional property,1875000,New build,5,551,USA hyper equipped,No,0,0,450,620,551,4,0,As new
Seraing Jemeppe-sur-Meuse,House,House,250000,,4,172,Installed,No,0,0,349,603,128,3,0,Good
Comblain-au-Pont,House,House,280000,,3,240,USA hyper equipped,No,0,0,409,695,,2,0,Good
Nandrin,House,House,445000,,4,225,Installed,No,1,0,1103,1278,,4,0,As new
OCQUIER,House,House,159500,,2,90,Semi equipped,No,0,0,0,439,,4,0,To be done up
Huy,House,House,325000,,4,185,Installed,No,0,0,313,413,,2,0,Good
Dilbeek Sint-Martens-Bodegem,House,Country house,699000,,3,199,Installed,No,0,0,0,1728,,4,0,Good
Welkenraedt,House,House,301400,New build,3,174,Not installed,No,0,0,0,198,,2,0,As new
Nivelles,House,House,300000,,3,118,Hyper equipped,No,1,0,600,794,,4,0,To be done up
Herzele,House,Villa,435000,,4,290,Installed,No,0,0,0,1604,,4,0,To be done up
Kalmthout,House,Villa,635000,,4,275,USA installed,No,1,0,0,1999,,4,0,Good
Saint-Hubert,House,Mixed-use building,89000,,3,180,Not installed,No,0,0,0,96,96,2,0,To renovate
Comblain-au-Pont,House,House,110000,,2,69,Not installed,No,0,0,80,144,,2,0,To renovate
Flémalle Flémalle-Haute,House,House,115000,,1,90,Installed,No,0,0,0,70,,2,0,Good
Ans,House,House,115000,,3,125,Not installed,No,0,0,0,77,,2,0,To renovate
Liège Grivegnée,House,Mixed-use building,129000,,3,156,Not installed,No,0,0,0,71,67,2,0,To be done up
Liege,House,Town-house,130000,,2,129,Not installed,No,0,0,0,91,91,2,0,To renovate
Arbrefontaine,House,House,135000,,3,124,Not installed,No,0,0,0,203,67,3,0,To be done up
Ronse,House,House,139000,,2,130,Installed,No,0,0,0,50,50,2,0,Good
Ronse,House,House,149000,,3,150,Not installed,No,0,0,20,90,70,2,0,To be done up
Ronse,House,House,159000,,5,207,Installed,No,0,0,0,160,140,2,0,To renovate
Liège,House,House,160000,,4,165,Not installed,No,0,0,96,183,,3,0,To renovate
Awans,House,House,169000,,3,120,Not installed,No,0,0,280,484,105,2,0,To renovate
Ans,House,House,175000,,2,84,Not installed,No,0,0,90,178,70,4,0,To renovate
Awans,House,House,179000,,2,100,Installed,No,0,0,177,260,,2,0,Good
GrÃce-Hollogne,House,House,179000,,3,150,Hyper equipped,No,0,0,0,134,98,3,0,Good
Ronse,House,House,179900,,4,140,Installed,No,0,0,0,70,70,2,0,Just renovated
Verviers Ensival,House,House,180000,,5,200,Installed,No,0,0,122,215,87,2,0,Good
Ronse,House,House,189000,,2,162,Installed,No,0,0,50,170,70,2,0,Good
Ronse,House,Mixed-use building,195000,,4,201,Not installed,No,0,0,105,370,265,2,0,To renovate
Ronse,House,House,199900,,3,162,Hyper equipped,No,0,0,0,94,70,2,0,Just renovated
Aywaille,House,Mixed-use building,209000,,5,208,Semi equipped,No,0,0,0,209,,3,0,To renovate
Aywaille,House,House,209000,,5,208,Semi equipped,No,0,0,0,209,,3,0,To renovate
Ronse,House,Mansion,220000,,3,189,Installed,No,0,0,75,231,122,2,0,To be done up
Villers-le-Bouillet,House,Bungalow,235000,,3,140,Semi equipped,No,0,0,1300,1423,100,4,0,To renovate
Chaudfontaine,House,House,239000,,5,250,Semi equipped,No,0,0,200,296,100,3,0,Good
GRÂCE-HOLLOGNE,House,House,239000,,3,175,Installed,No,0,0,175,440,,4,0,Just renovated
Liege,House,Apartment block,245000,,3,185,Semi equipped,No,0,0,0,470,120,2,0,To be done up
Saint-Nicolas Montegnée,House,House,245000,,3,116,USA hyper equipped,No,0,0,120,177,58,2,0,As new
Waremme,House,House,250000,,3,140,USA hyper equipped,No,0,0,150,333,75,2,0,Just renovated
Gembloux,House,House,250000,,2,81,Semi equipped,No,1,0,400,633,,3,0,To be done up
Molenbeek-Saint-Jean,House,Apartment block,275000,,8,270,Semi equipped,No,0,0,0,76,63,2,0,To restore
Tienen,House,House,275000,,3,112,Installed,No,0,0,130,195,,2,0,Just renovated
Rixensart,House,House,285000,,3,115,Installed,No,0,0,0,164,72,3,0,Good
Huy,House,Mixed-use building,289000,,3,322,Semi equipped,No,0,0,400,492,144,3,0,Good
Rouvroy Lamorteau,House,House,295000,,3,122,Semi equipped,No,0,0,1633,1634,,4,0,Good
Libramont-Chevigny,House,House,295000,,5,460,Semi equipped,No,0,0,0,321,,2,0,To be done up
Ronse,House,Mansion,295000,,5,261,Installed,No,0,0,66,279,198,3,0,Good
BAS-OHA,House,House,309000,,5,170,Semi equipped,No,0,0,600,891,,4,0,Good
BAS-OHA,House,Villa,309000,,5,170,Semi equipped,No,0,0,600,891,,4,0,Good
Neupré Rotheux-Rimière,House,House,310000,,3,108,Installed,No,0,0,2730,2815,,4,0,To be done up
Saint-Georges-sur-Meuse,House,House,335000,,4,140,Hyper equipped,No,0,0,1300,2013,113,4,0,To be done up
Namur,House,House,335000,,3,282,Semi equipped,No,0,0,11002,1100,,4,0,Good
Ronse,House,Villa,349000,,4,186,Hyper equipped,No,0,0,485,992,220,4,0,Good
Braine-l'Alleud,House,House,350000,,4,207,Installed,No,0,0,490,585,,3,0,Good
Tubize,House,House,378000,,4,210,Semi equipped,No,0,0,850,968,100,3,0,Good
Waremme,House,Mansion,380000,,3,165,Installed,No,0,0,270,440,150,4,0,Good
Dilbeek,House,Town-house,395000,,4,220,Hyper equipped,No,0,0,200,320,220,2,0,To be done up
Leuven,House,House,395000,,3,104,Installed,Yes,0,0,0,49,,2,0,Good
Huy,House,Apartment block,395000,,5,400,Hyper equipped,No,0,0,366,603,186,4,0,As new
Huy,House,Exceptional property,395000,,5,400,Hyper equipped,No,0,0,366,603,186,4,0,As new
Seneffe,House,House,395000,,4,380,Hyper equipped,No,0,0,2955,3145,351,4,0,Good
Anderlecht,House,Apartment block,399000,,3,190,USA hyper equipped,No,0,0,0,50,46,2,0,Good
Aarschot Rillaar,House,House,400000,,6,293,Hyper equipped,No,0,0,0,1023,,4,0,Good
Sint-Pieters-Leeuw,House,House,410000,,2,130,USA hyper equipped,Yes,0,0,70,250,62,3,0,As new
Kortenberg,House,House,415000,,4,177,Installed,No,0,0,0,612,,3,0,Good
Bonheiden,House,House,425000,,4,182,USA hyper equipped,No,0,0,117,175,,2,0,As new
Grimbergen Strombeek-Bever,House,Town-house,430000,,4,155,USA hyper equipped,No,0,0,50,170,160,2,0,Just renovated
Martelange,House,Mixed-use building,445000,,4,481,Installed,No,0,0,0,685,,3,0,To be done up
Wezembeek-Oppem,House,House,449000,,2,168,Semi equipped,No,0,0,0,625,,3,0,To renovate
FIZE-FONTAINE,House,House,449000,,4,330,Installed,No,1,0,450,893,,2,0,As new
Silly,House,Villa,449000,,4,220,Installed,No,0,0,950,1150,,4,0,As new
Forest,House,Mixed-use building,450000,,2,220,Installed,No,0,0,60,193,200,2,0,As new
Ninove,House,Villa,460000,,4,225,Installed,No,0,0,0,1635,,4,0,Good
Ittre,House,House,465000,,5,225,USA hyper equipped,No,0,0,400,601,,2,0,As new
Tubize,House,House,465000,,5,225,USA hyper equipped,No,0,0,400,601,,2,0,As new
Watermael-Boitsfort,House,House,470000,,3,130,Hyper equipped,No,0,0,30,83,,2,0,Good
Ophain-Bois-Seigneur-Isaac,House,House,475000,,5,170,Installed,No,1,0,400,710,,4,0,Good
Wavre,House,Villa,490000,,3,178,Installed,No,1,0,600,948,,4,0,Good
Rosières,House,Villa,495000,,4,170,Installed,No,0,0,0,740,110,4,0,To renovate
Rhode-Saint-Genèse,House,House,495000,,3,185,Semi equipped,No,0,0,562,635,192,2,0,Just renovated
Laeken,House,House,539000,,6,390,Installed,Yes,0,0,346,386,,2,0,To renovate
Woluwe-Saint-Lambert,House,House,540000,,4,225,Not installed,No,0,0,240,319,,3,0,To renovate
Ternat,House,Exceptional property,549000,,3,221,USA hyper equipped,No,0,0,283,420,,4,0,Good
Ronse,House,House,620000,,4,393,Hyper equipped,No,1,0,434,569,,2,0,Good
Dilbeek,House,Town-house,625000,,4,275,Hyper equipped,No,0,0,0,474,,3,0,Good
Brugge,House,House,634000,,3,280,Installed,No,0,0,0,75,,3,0,As new
Schaerbeek,House,House,650000,,4,210,Installed,No,1,0,44,110,,2,0,Good
Rixensart,House,Villa,650000,,5,175,USA installed,No,0,0,1400,1686,130,3,0,Good
Erps-Kwerps,House,Villa,711000,,6,280,Installed,No,0,0,1088,1267,,4,0,As new
Wemmel,House,House,745000,,5,287,Hyper equipped,No,0,0,510,661,661,4,0,As new
Woluwe-Saint-Pierre,House,House,750000,,5,260,Installed,No,0,0,0,110,305,2,0,Good
Woluwe-Saint-Pierre,House,Apartment block,750000,,5,260,Installed,No,0,0,0,110,305,2,0,Good
Bertem,House,Exceptional property,845000,,4,400,USA hyper equipped,No,0,0,1500,1869,240,4,0,Good
Bachte-Maria-Leerne,House,House,856000,,4,492,Not installed,No,1,0,2000,2400,,3,0,To be done up
Braives,House,Exceptional property,980000,,5,500,USA hyper equipped,No,0,0,3000,4240,300,4,0,As new
Schaerbeek,House,Mansion,985000,,4,340,Hyper equipped,No,0,0,0,130,,2,0,Good
Woluwe-Saint-Lambert,House,House,995000,,4,200,Installed,No,0,0,550,836,250,3,0,Good
Hoeilaart,House,Exceptional property,1045000,,4,400,Hyper equipped,No,0,0,1000,1408,242,4,0,As new
SAINT-JOSSE-TEN-NOODE,House,Apartment block,1300000,,9,804,USA installed,No,0,0,0,348,,2,0,Good
Ixelles,House,House,1375000,,6,427,Hyper equipped,No,1,0,300,508,,3,0,As new
WOLUWE-SAINT-LAMBERT,House,Mansion,2495000,,6,460,Hyper equipped,No,0,0,0,561,,2,0,As new
Charleroi Roux,House,House,275000,,6,300,Installed,No,0,0,700,850,,3,0,Good
Woluwe-Saint-Pierre,House,House,925000,,4,220,Hyper equipped,No,0,0,300,1176,,3,0,Good
Lasne,House,House,499000,,4,180,USA hyper equipped,No,0,0,250,710,,2,0,Good
Schaerbeek,House,House,1200000,,6,350,Not installed,No,0,0,65,300,,2,0,To renovate
FLÉMALLE-HAUTE,House,House,165000,,3,95,Semi equipped,No,0,0,20,85,,2,0,Good
RUIEN,House,House,325000,,3,300,Installed,No,0,0,0,359,,3,0,Good
Kessel-Lo,House,House,359000,,3,110,Semi equipped,No,0,0,0,297,,,0,Good
Schaerbeek,House,Apartment block,850000,,5,256,,No,0,0,0,180,,2,0,Good
MARIEKERKE,House,House,205000,,4,142,Installed,No,0,0,0,262,,2,0,To renovate
Machelen,House,House,250000,,2,150,Semi equipped,No,0,0,0,160,,2,0,To renovate
Merelbeke,House,House,325000,,3,180,Semi equipped,No,0,0,0,537,,3,0,To renovate
Tubize,House,Mansion,465000,,4,230,USA installed,No,0,0,0,325,,2,0,As new
Antwerp,House,Mansion,1395000,,5,342,Hyper equipped,No,0,0,35,143,,2,0,Just renovated
Oudenaarde,House,House,329000,,3,238,Installed,No,0,0,1233,1394,,4,0,Good
Hoegaarden (Hoksem),House,House,347500,,3,181,USA hyper equipped,No,0,0,1200,1488,130,4,0,Good
Huccorgne,House,House,380000,,6,255,Hyper equipped,No,0,0,200,365,90,3,0,As new
Kortrijk,House,Mansion,349500,,3,240,Installed,No,0,0,0,400,,2,0,Good
STOCKAY,House,House,275000,,3,150,Semi equipped,No,0,0,1000,1112,,4,0,To be done up
Tienen,House,House,335000,,3,159,Installed,No,0,0,60,158,,,0,As new
WARZÉE,House,Farmhouse,449000,,5,363,Semi equipped,No,1,0,0,2450,,,0,Good
Pont-de-Loup,House,House,210000,,2,145,Installed,No,0,0,500,600,,4,0,Good
Selange,House,House,295000,,4,140,Not installed,No,0,0,0,178,,3,0,To renovate
Andenne,House,House,215000,,2,175,Semi equipped,No,0,0,0,1310,,3,0,Good
Mons,House,House,330890,New build,1,110,USA hyper equipped,No,0,0,0,900,2700,4,0,As new
Roosdaal Onze-Lieve-Vrouw-Lombeek,House,House,378950,New build,3,172,USA hyper equipped,No,0,0,120,120,,3,0,As new
Waremme,House,House,280000,,5,235,USA hyper equipped,No,0,0,0,277,113,2,0,Good
Harelbeke,House,House,290000,,3,165,USA installed,No,0,0,320,423,100,3,0,As new
Zwevegem,House,House,311000,,4,181,Hyper equipped,No,0,0,275,497,,2,0,Good
Evere,House,House,369000,,2,190,Not installed,No,0,0,100,162,60,2,0,To be done up
Waterloo,House,House,550000,,3,141,Hyper equipped,No,0,0,0,785,,4,0,As new
LAUWE,House,House,229000,,4,170,Installed,No,0,0,0,190,,2,0,Good
Ooigem,House,House,325000,,3,150,,No,0,0,0,303,,3,0,Just renovated
Nivelles,House,House,495000,New price,3,184,Hyper equipped,No,1,0,3000,3910,,3,0,As new
Pont-à-Celles,House,House,495000,,3,184,Hyper equipped,No,1,0,3000,3910,,3,0,As new
Sint-Andries,House,House,495000,,4,280,Installed,No,0,0,0,551,,2,0,As new
Arlon,House,House,,New price,3,166,Installed,No,0,0,0,459,,2,0,Good
Bruxelles,House,Apartment block,675000,,4,351,Hyper equipped,No,0,0,70,170,,2,0,To be done up
Dilbeek,House,Mixed-use building,795000,,5,346,Hyper equipped,No,0,0,0,2632,,4,0,As new
Virton,House,House,420000,,3,180,Hyper equipped,No,0,0,0,1002,,4,0,As new
Koolkerke,House,House,499000,,4,240,Installed,No,0,0,0,659,,4,0,Good
Schaarbeek,House,House,560000,,3,180,Installed,No,0,0,60,150,,3,0,Just renovated
Huy,House,House,175000,,4,150,Not installed,No,0,0,400,540,78,2,0,To renovate
Hamme,House,House,239000,,3,150,Installed,No,0,0,0,110,,2,0,Just renovated
Havelange Flostoy,House,House,289000,,5,143,Installed,No,0,0,768,827,59,3,0,As new
Waregem,House,House,395000,,3,185,USA installed,No,0,0,535,650,120,4,0,Good
AWIRS,House,House,419000,,5,274,Installed,No,1,0,0,3943,,4,0,Good
Kraainem,House,Villa,895000,,4,250,Hyper equipped,No,0,0,350,677,,4,0,As new
Mechelen,House,House,925000,,3,410,Installed,No,0,0,250,483,,2,0,As new
Trooz,House,House,199000,,3,180,Not installed,No,0,0,40,215,,3,0,To renovate
Pont-a-Celles,House,House,225000,,3,147,Installed,No,0,0,0,245,,2,0,Good
MORVILLE,House,House,232000,,3,120,Semi equipped,No,0,0,0,996,,4,0,Good
LA LOUVIÈRE,House,House,250000,,4,146,Installed,No,0,0,350,500,,4,0,As new
Halle,House,House,339000,,3,153,Installed,No,1,0,0,170,,2,0,Good
Buizingen,House,House,339000,,3,153,Installed,No,1,0,0,170,,2,0,Good
Lincent,House,House,345000,,4,222,Installed,No,0,0,680,1031,167,4,0,Just renovated
MOERZEKE,House,House,399000,,4,224,Installed,No,0,0,0,252,,2,0,Good
VIERSET-BARSE,House,Villa,490000,,4,250,Installed,No,0,0,2600,3508,,4,0,As new
Lille,House,House,545000,,3,266,Installed,No,0,0,0,675,,4,0,As new
WINKSELE,House,Villa,745000,,4,270,Installed,No,0,0,0,791,,4,0,Good
HUISE,House,Country house,1875000,,5,1200,Hyper equipped,No,0,0,0,11307,,4,0,As new
Vaux-sur-Sûre,House,House,500000,,8,,Installed,No,0,0,0,1590,,4,0,Good
Modave,House,House,,life annuity,3,270,Installed,No,0,0,0,493,,3,0,Good
Jemeppe-sur-Meuse,House,House,97000,,3,95,Semi equipped,No,0,0,40,1,,2,0,To renovate
Amay,House,House,100000,,1,64,Semi equipped,No,0,0,300,345,,2,0,Good
Lessines,House,House,110000,,3,120,Semi equipped,No,0,0,0,179,,2,0,To renovate
Grace-Hollogne,House,House,145000,,2,100,Not installed,No,0,0,200,326,,2,0,To renovate
Saint-Nicolas Montegnée,House,House,149000,,3,110,Semi equipped,No,0,0,15,179,,2,0,To be done up
Flobecq,House,House,155000,,3,155,Semi equipped,No,0,0,0,320,,3,0,To renovate
Chaudfontaine Vaux-sous-Chèvremont,House,House,169000,,3,120,Semi equipped,No,0,0,0,138,,2,0,To be done up
Herstal,House,House,179000,,2,110,Not installed,No,0,0,120,242,,2,0,To be done up
Flémalle,House,House,179000,,3,166,Semi equipped,No,0,0,280,325,,3,0,To be done up
Soumagne,House,House,184000,,3,140,Not installed,No,0,0,20,177,,3,0,Good
Wanze,House,House,185000,,3,170,Semi equipped,No,0,0,369,428,,3,0,To be done up
Engis,House,House,195000,,3,120,Semi equipped,No,0,0,900,977,77,3,0,Good
Huy,House,House,195000,,2,97,Installed,No,0,0,0,258,,2,0,Good
AMPSIN,House,House,195000,,2,100,Semi equipped,No,0,0,0,483,,4,0,To be done up
Aspelare,House,House,199000,,3,135,Semi equipped,No,0,0,0,361,104,3,0,To be done up
Liege,House,Apartment block,210000,,4,112,Semi equipped,No,0,0,0,113,63,2,0,Good
Liege,House,Apartment block,215000,,4,163,Semi equipped,No,0,0,0,45,,2,0,To be done up
Seraing,House,House,219000,,4,123,Installed,No,0,0,138,261,,2,0,Good
Chiny,House,House,225000,,3,116,Hyper equipped,No,0,0,0,2005,,3,0,Good
WANDRE,House,House,229000,,3,100,,No,0,0,0,150,,3,0,Good
LES WALEFFES,House,House,235000,,3,200,Semi equipped,No,0,0,0,267,,3,0,Good
Libin Ochamps,House,House,245000,,3,273,Installed,No,0,0,0,1360,,4,0,Good
TIHANGE,House,House,259000,,3,175,Installed,No,0,0,700,770,,4,0,Good
Beho,House,House,260000,,4,316,Semi equipped,No,0,0,769,906,,3,0,Good
Harelbeke,House,House,268000,,2,160,Installed,No,0,0,0,108,,3,0,Good
Alleur,House,House,269500,,3,130,Installed,No,0,0,169,229,,2,0,As new
Sprimont,House,House,270000,,5,172,Semi equipped,No,0,0,972,1247,,4,0,Good
Bastogne,House,House,275000,,3,138,Installed,No,0,0,300,513,,3,0,Good
Frasnes-lez-Buissenal,House,House,280000,,4,250,Semi equipped,No,1,0,0,1246,,3,0,To be done up
Vaux-sur-Sûre,House,House,285000,,5,232,USA semi equipped,No,0,0,0,3499,,4,0,Good
Faimes,House,Villa,295000,,3,120,,No,0,0,1750,1928,120,4,0,Good
OUTRELOUXHE,House,House,295000,,3,120,Installed,No,0,0,0,3220,,4,0,Good
Sprimont,House,House,298000,,3,165,USA installed,No,0,0,60,179,55,2,0,As new
Dilbeek,House,House,299000,,5,190,USA semi equipped,No,0,0,0,169,,2,0,To be done up
Sprimont,House,House,305000,,3,165,USA installed,No,0,0,15,145,55,3,0,As new
Flône,House,House,310000,,4,162,Semi equipped,No,0,0,500,834,,4,0,As new
Bonheiden,House,House,318000,,2,114,USA hyper equipped,No,0,0,0,663,,4,0,Good
Schepdaal,House,House,324000,,2,183,Not installed,No,0,0,350,450,,2,0,Good
Mont-de-l'Enclus,House,Villa,329990,,3,142,Hyper equipped,No,0,0,450,751,105,3,0,As new
Waterloo,House,House,335000,,3,120,USA hyper equipped,No,0,0,80,184,,2,0,Good
Attert,House,House,339000,,3,160,Installed,No,0,0,3020,3188,118,4,0,Good
Laeken,House,Town-house,340000,,4,185,Not installed,No,0,0,200,299,,2,0,To renovate
Huy,House,House,340000,,2,330,Semi equipped,No,0,0,0,230,,2,0,As new
Bornem,House,House,348000,,3,178,Semi equipped,No,0,0,565,755,,3,0,To renovate
Deerlijk,House,House,348000,,3,300,Installed,No,0,0,0,326,,3,0,Just renovated
Walshoutem,House,House,349000,,3,141,Hyper equipped,Yes,0,0,0,257,,2,0,As new
Auderghem,House,House,350000,,3,104,Not installed,No,0,0,0,55,50,2,0,To renovate
Braives,House,House,350000,,4,190,Installed,No,0,0,0,1355,,4,0,As new
Huy,House,Villa,359500,,5,180,Installed,No,0,0,750,883,,4,0,As new
Anderlecht,House,Town-house,369000,,2,145,Hyper equipped,No,0,0,0,148,,2,0,Good
Halle,House,House,369000,,3,156,Installed,No,0,0,0,410,,2,0,Good
Buizingen,House,House,369000,,3,156,Installed,No,0,0,0,410,,2,0,Good
Huy,House,House,375000,,4,185,Not installed,No,0,0,0,187,,3,0,Good
Asse,House,Villa,380000,,3,120,USA hyper equipped,No,0,0,200,382,,4,0,Just renovated
St-Pieters-Leeuw,House,House,395000,,3,150,Installed,No,0,0,400,483,,3,0,As new
Fexhe-le-Haut-Clocher,House,House,395000,,5,285,Semi equipped,No,0,0,0,1400,,4,0,To be done up
Boom,House,House,415000,,3,293,Installed,No,0,0,155,472,,3,0,Good
SINT-PIETERS-KAPELLE,House,House,449000,,4,461,Semi equipped,No,0,0,0,861,,3,0,Good
Sint-Pieters-Leeuw,House,House,450000,,4,130,Hyper equipped,No,0,0,350,470,,3,0,Good
Middelkerke,House,Villa,450000,,3,110,Not installed,No,0,0,300,417,110,4,0,To be done up
Huy,House,Villa,460000,,4,335,Installed,No,0,0,5000,5380,,4,0,Good
Wezembeek-Oppem,House,House,465000,,3,104,Installed,No,0,0,150,267,62,3,0,Good
Ninove,House,Bungalow,475000,,3,225,Installed,No,0,0,1800,2254,,4,0,Good
